Villes;Paris;Marseille;Lyon;Toulouse;Nice;Nantes;Strasbourg;Montpellier;Bordeaux;Lille;Rennes;Reims;Le Havre;Saint-Étienne;Toulon;Grenoble;Dijon;Nîmes;Angers;Villeurbanne;Saint-Denis;Le Mans;Aix-en-Provence;Clermont-Ferrand;Brest;Tours;Limoges;Amiens;Annecy;Perpignan
Paris;1 m;775 km;466 km;679 km;932 km;385 km;492 km;748 km;584 km;225 km;354 km;144 km;197 km;523 km;839 km;575 km;315 km;712 km;296 km;471 km;11.3 km;208 km;761 km;424 km;591 km;239 km;392 km;144 km;557 km;848 km
Marseille;775 km;1 m;314 km;403 km;207 km;994 km;802 km;170 km;645 km;1,000 km;1,052 km;798 km;965 km;333 km;66.3 km;306 km;505 km;122 km;905 km;318 km;788 km;896 km;32.6 km;474 km;1,280 km;797 km;719 km;920 km;423 km;318 km
Lyon;466 km;314 km;1 m;537 km;471 km;685 km;493 km;305 km;556 km;691 km;743 km;489 km;657 km;62.8 km;378 km;111 km;196 km;251 km;597 km;8.6 km;479 km;587 km;300 km;165 km;971 km;489 km;410 km;611 km;145 km;452 km
Toulouse;679 km;404 km;538 km;1 m;561 km;585 km;969 km;243 km;245 km;894 km;704 km;813 km;859 km;536 km;468 km;530 km;672 km;291 km;642 km;542 km;692 km;686 km;389 km;376 km;882 km;587 km;290 km;825 km;647 km;205 km
Nice;932 km;205 km;471 km;560 km;1 m;1,151 km;785 km;328 km;803 km;1,157 km;1,209 km;955 km;1,123 km;490 km;150 km;463 km;662 km;279 km;1,063 km;475 km;945 km;1,053 km;176 km;631 km;1,437 km;955 km;876 km;1,078 km;580 km;475 km
Nantes;385 km;993 km;685 km;586 km;1,150 km;1 m;866 km;825 km;347 km;600 km;113 km;518 km;384 km;664 km;1,057 km;795 km;638 km;873 km;90.7 km;691 km;397 km;184 km;979 km;536 km;297 km;216 km;320 km;505 km;829 km;788 km
Strasbourg;490 km;802 km;493 km;971 km;784 km;865 km;1 m;792 km;969 km;525 km;835 km;350 km;699 km;551 km;866 km;529 km;330 km;739 km;777 km;498 km;497 km;689 km;788 km;631 km;1,072 km;694 km;732 km;526 km;428 km;940 km
Montpellier;748 km;169 km;303 km;242 km;326 km;825 km;791 km;1 m;485 km;964 km;918 km;787 km;928 km;322 km;233 km;295 km;494 km;56.0 km;772 km;307 km;761 km;762 km;155 km;332 km;1,146 km;664 km;424 km;894 km;412 km;157 km
Bordeaux;590 km;646 km;556 km;246 km;803 km;353 km;968 km;485 km;1 m;806 km;472 km;724 km;691 km;535 km;710 km;666 km;671 km;533 km;411 km;562 km;603 km;454 km;631 km;375 km;650 km;355 km;227 km;736 km;700 km;448 km
Lille;225 km;1,001 km;692 km;895 km;1,158 km;600 km;525 km;963 km;800 km;1 m;570 km;206 km;316 km;749 km;1,065 km;801 km;502 km;938 km;512 km;697 km;211 km;424 km;987 km;640 km;758 km;455 km;608 km;144 km;748 km;1,064 km
Rennes;349 km;1,046 km;738 km;705 km;1,203 km;113 km;830 km;912 km;466 km;564 km;1 m;483 km;279 km;717 km;1,110 km;877 km;617 km;983 km;126 km;773 km;362 km;153 km;1,032 km;589 km;244 km;252 km;439 km;434 km;859 km;907 km
Reims;143 km;799 km;489 km;813 km;956 km;518 km;352 km;789 km;718 km;205 km;488 km;1 m;351 km;547 km;863 km;599 km;299 km;736 km;430 km;495 km;150 km;342 km;784 km;558 km;725 km;373 km;526 km;178 km;546 km;936 km
