kilometrage;price;release_date;tel_fixe;tel_port;type_vendeur;version;cote argus;comparaison argus
5750;8900;2016;;;particulier;zen;12154;-
27500;8000;2013;;;particulier;zen;9209;-
7079;10890;2015;0185500387;;professionnel;zen;11208;-
29623;9300;2014;0175448159;;professionnel;zen;9649;-
11150;10100;2014;0175448159;;professionnel;zen;10311;-
8751;8990;2013;0164597186;0681259520;professionnel;zen;9532;-
7039;9500;2014;0182714652;;professionnel;zen;10342;-
25257;8980;2014;0182714652;;professionnel;zen;9901;-
13484;8500;2013;0182714652;;professionnel;zen;9500;-
31451;7990;2013;;0677372750;professionnel;zen;9040;-
70896;6790;2013;0164572000;;professionnel;zen;7949;-
6667;10890;2016;0185500387;;professionnel;zen;12139;-
17940;9900;2015;0164393333;;professionnel;zen;10907;-
7248;10690;2015;0178455073;;professionnel;zen;11207;-
2759;9490;2014;0174704406;;professionnel;zen;10359;-
33853;9980;2014;0184207324;;professionnel;zen;9406;+
27582;9600;2014;0175448151;;professionnel;zen;9770;-
2000;10890;2016;;;professionnel;zen;12184;-
19438;9500;2015;0182714652;;professionnel;zen;10820;-
8800;9490;2013;0174704406;;professionnel;zen;9532;-
31872;9600;2014;0160926972;;professionnel;zen;9516;+
31425;9100;2014;0170176498;;professionnel;zen;9542;-
32203;9600;2014;0175448151;;professionnel;zen;9497;+
12658;9990;2014;0175448164;;professionnel;zen;10294;-
12658;9990;2014;0175448166;;professionnel;zen;10294;-
21264;8980;2014;0182714652;;professionnel;zen;10085;-
21430;10300;2014;0174037256;;professionnel;zen;10079;+
9087;10980;2016;;;professionnel;zen;12075;-
10207;10490;2014;;;professionnel;zen;10320;+
1410;13990;2016;;0677372750;professionnel;zen;12186;+
19900;9100;2013;;;particulier;zen;9416;-
47000;8300;2013;;;particulier;zen;8276;+
55300;8000;2013;;;particulier;zen;8065;-
11900;9000;2015;;;particulier;zen;11137;-
7400;16800;2017;;;particulier;zen;12940;+
17800;15000;2017;;;particulier;zen;12800;+
5160;11400;2016;0175448159;;professionnel;zen;12161;-
35500;10100;2014;0175448159;;professionnel;zen;9324;+
18328;11700;2015;0175448159;;professionnel;zen;10886;+
17900;9490;2013;;0603071849;professionnel;zen;9449;+
6500;18500;2017;0184040214;;professionnel;zen;13010;+
31250;8480;2013;0185470460;;professionnel;zen;9050;-
18350;10400;2014;0175448159;;professionnel;zen;10182;+
500;16390;2017;0184030570;;professionnel;zen;13217;+
3100;11590;2015;0178455073;;professionnel;zen;11232;+
81404;8700;2013;0178455073;;professionnel;zen;7936;+
8184;10990;2014;0178455073;;professionnel;zen;10335;+
19186;8790;2013;0174704406;;professionnel;zen;9429;-
100;13900;2016;0184270396;;professionnel;zen;12189;+
49299;9980;2013;0184207324;;professionnel;zen;8200;+
100;13900;2016;0184270396;;professionnel;zen;12189;+
100;10390;2016;0184030570;;professionnel;zen;12189;-
100;11690;2016;0184030570;;professionnel;zen;12189;-
100;11390;2016;0184030570;;professionnel;zen;12189;-
30100;10100;2014;0175448151;;professionnel;zen;9620;+
100;11690;2016;0184030570;;professionnel;zen;12189;-
70102;9000;2013;0175448151;;professionnel;zen;7951;+
20359;10400;2014;0175448151;;professionnel;zen;10119;+
5975;12450;2016;0175448166;;professionnel;zen;12150;+
5975;12450;2016;0175448164;;professionnel;zen;12150;+
36385;10100;2014;;0677372750;professionnel;zen;9284;+
100;11390;2016;0184030570;;professionnel;zen;12189;-
19157;11700;2015;0174037256;;professionnel;zen;10837;+
1;16480;2017;0160625056;;professionnel;zen;13219;+
29306;10900;2014;0160059293;;professionnel;zen;9668;+
100;11690;2016;0184030570;;professionnel;zen;12189;-
20205;10490;2014;0171025422;;professionnel;zen;10124;+
23660;9200;2013;0175448151;;professionnel;zen;9332;-
39500;8900;2013;;;particulier;zen;8618;+
49000;8990;2014;;;particulier;zen;8992;-
4000;16900;2017;;;particulier;zen;13167;+
24000;10300;2013;;;particulier;zen;9322;+
29500;7950;2013;;;particulier;zen;9129;-
20000;10450;2015;;;particulier;zen;10785;-
200;29900;2017;;;particulier;zen;13218;+
65000;10500;2015;;;particulier;zen;10076;+
44361;10400;2014;0175448159;;professionnel;zen;9050;+
1505;12400;2015;0175448159;;professionnel;zen;11237;+
2700;10490;2014;;;professionnel;zen;10359;+
15254;10990;2015;0164597186;0681259520;professionnel;zen;11034;-
32671;9800;2013;0174037256;;professionnel;zen;8981;+
17900;9490;2013;;0603071849;professionnel;zen;9449;+
31426;9890;2013;0164895656;;professionnel;zen;9042;+
16366;10900;2014;0175448159;;professionnel;zen;10231;+
66951;7990;2013;;0677372750;professionnel;zen;7962;+
40095;10700;2015;0178455073;;professionnel;zen;10095;+
18815;10900;2014;0178455073;;professionnel;zen;10169;+
10014;11090;2015;0174704406;;professionnel;zen;11173;-
1;17790;2017;0160625056;;professionnel;zen;13219;+
1;17790;2017;0160625056;;professionnel;zen;13219;+
1;17490;2017;0160625056;;professionnel;zen;13219;+
1;17790;2017;0160625056;;professionnel;zen;13219;+
1;17790;2017;0160625056;;professionnel;zen;13219;+
1;17790;2017;0160625056;;professionnel;zen;13219;+
1;17490;2017;0160625056;;professionnel;zen;13219;+
1;17790;2017;0160625056;;professionnel;zen;13219;+
1;17790;2017;0160625056;;professionnel;zen;13219;+
1;17790;2017;0160625056;;professionnel;zen;13219;+
1;17790;2017;0160625056;;professionnel;zen;13219;+
1;17790;2017;0160625056;;professionnel;zen;13219;+
19756;11990;2015;0174730257;;professionnel;zen;10800;+
6130;12990;2016;0170176498;;professionnel;zen;12148;+
15888;11500;2014;0174704406;;professionnel;zen;10241;+
10000;14000;2016;0184030235;;professionnel;zen;12039;+
16134;11500;2015;0178455073;;professionnel;zen;10997;+
9474;11980;2015;;;professionnel;zen;11181;+
34121;10790;2014;;;professionnel;zen;9392;+
23276;10590;2014;0174730257;;professionnel;zen;10000;+
15000;14100;2016;0184030235;;professionnel;zen;11719;+
11000;9300;2016;;;particulier;zen;11989;-
48000;9500;2014;;;particulier;zen;9002;+
9000;15000;2017;;;particulier;zen;12854;+
30000;14000;2015;;;particulier;zen;10237;+
32000;9500;2016;;;particulier;zen;11358;-
